n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic
6,3,1,2.0,0.0,1.0,1,5,0,2,1
6,3,1,3.0,1.0,1.0,1,5,0,1,1
6,3,1,3.0,1.0,1.0,2,5,0,1,1
6,3,1,2.0,0.0,1.0,2,5,0,1,1
5,3,1,2.0,0.0,1.0,1,5,0,1,1
6,3,1,3.0,1.0,1.0,1,5,0,1,0
5,3,1,2.0,0.0,1.0,2,5,0,1,1
6,3,1,3.0,1.0,1.0,2,5,0,1,1
6,3,1,3.0,1.0,1.0,1,5,0,1,1
4,2,0,2.0,0.0,1.0,1,4,0,1,0
4,2,0,2.0,0.0,1.0,0,4,0,4,0
6,3,1,3.0,1.0,1.0,0,5,0,3,1
6,3,1,3.0,1.0,1.0,0,5,0,4,1
5,3,1,2.0,0.0,1.0,0,5,0,4,1
6,3,1,3.0,1.0,1.0,1,5,0,2,1
5,3,1,2.0,0.0,1.0,1,5,0,1,0
6,3,1,2.0,0.0,1.0,1,5,0,2,1
6,3,1,3.0,1.0,1.0,1,5,0,1,0
6,3,1,3.0,1.0,1.0,0,5,0,5,1
6,3,1,2.0,0.0,1.0,0,5,0,3,1
5,3,1,2.0,0.0,1.0,0,5,0,5,1
